url,titre,date,contenu
https://alwatwan.net/sante/mouvement-de-grève-à-el-maarouf-i-les-grévistes-demandent-une-révision-des-propositions-faites-par-la-direction.html,Mouvement de grève à El-Maarouf I Les grévistes demandent une révision des propositions faites par la Direction,• Publié le 25/03/2026,"Les employés de l’hôpital El-Maarouf, en grève depuis le 9 mars, se sont rassemblés ce lundi 23 mars, à Moroni-Mavuna, pour exprimer leur solidarité avec leurs collègues licenciés. Ils réclament davantage de transparence dans la gestion des fonds et demandent le départ de certains responsables.
En grève depuis le 9 mars, les employés ont organisé un grand rassemblement ce lundi 23 mars, à Moroni-Mavuna. Selon les organisateurs, plus de 500 personnes étaient présentes. Il s’agit, selon eux « d’une démonstration de force et de solidarité» face aux «intimidations et répressions» de la direction. Au nom des grévistes, Zainoudine Ahamada a exprimé «l’inquiétude » du mouvement face aux réactions et décisions prises par la direction générale de l’hôpital El-Maarouf. Le porte-parole a d’abord rappelé les engagements de ses collègues dans le secteur de la santé après de longues années d’études. «Nous avons choisi de travailler dans ce secteur. Ne nous obligez pas à renoncer à ce choix», a-t-il déclaré devant les journalistes.
«Des propositions insuffisantes»
Zainoudine Ahamada a réaffirmé la détermination des grévistes à poursuivre leur mouvement, qu’il qualifie de «légitime». «Nous nous sommes réunis aujourd’hui pour poursuivre notre combat et montrer notre détermination à aller jusqu’au bout. Depuis le déclenchement de la grève, nous avons rencontré la direction à plusieurs reprises, sans parvenir à un compromis », a-t-il expliqué.Selon lui, la direction reconnaît elle-même «le caractère légitime des revendications», mais ses propositions restent insuffisantes. «Après nos échanges, leur proposition est une insulte à notre combat. Ils demandent la fin de la grève et proposent une augmentation de 4 600 francs comoriens», a-t-il dénoncé. Les grévistes demandent également à la justice d’ouvrir une enquête sur la gestion de l’hôpital depuis le début du mouvement. Le porte-parole a affirmé que «l’établissement fonctionne actuellement au ralenti, avec un service minimum assuré». Il a, par ailleurs, dénoncé des pressions exercées sur les grévistes. « La direction a choisi la force : menaces, licenciements et interdictions d’accès aux services pour les grévistes et les médecins qui soutiennent le mouvement », a-t-il déploré.
Devant une foule acquise à la cause des grévistes, le porte-parole du mouvement a insisté sur l’unité du mouvement. «Nous informons les autorités que nous sommes unis. Si l’un d’entre nous est touché, c’est nous tous qui le seront. Si une personne est licenciée, c’est l’ensemble du personnel qui est concerné», a-t-il martelé sous les applaudissements nourris de l’assistance.Le représentant des grévistes a également annoncé l’établissement d’une liste de plus de «500 employés» qui sera transmise aux autorités avec une lettre pour prouver leur solidarité avec ceux qui sont licenciés. Pour conclure, les grévistes exigent « des éclaircissements » sur le budget de fonctionnement de l’hôpital. « Nous demandons la transparence sur la gestion financière afin de savoir s’il n’existe réellement pas de moyens pour répondre à nos revendications. Nous savons qu’il ne manque pas de moyens financiers», a-t-il lancé."
https://alwatwan.net/sante/grève-à-l’hôpital-el-maarouf-i-les-grévistes-regrettent-«l’absence-de-dialogue».html,Grève à l’hôpital El-Maarouf I Les grévistes regrettent «l’absence de dialogue»,• Publié le 13/03/2026,"Lors d’un point de presse organisé hier au siège de la Confédération des travailleurs et travailleuses comoriennes (Ctc), les représentants des grévistes ont dénoncé notamment la réquisition décidée par la procureure de la République, tout en déplorant l’absence de démarches du ministère de la Santé pour engager des discussions.
Le comité du personnel contractuel de l’hôpital El-Maarouf a tenu un point de presse hier jeudi dans la matinée au siège de la Confédération des travailleurs et travailleuses comoriennes (Cttc). Cette rencontre avec la presse visait, selon les organisateurs, à  déplorer «l’absence de dialogue » et surtout dénoncer « les pressions » notées depuis le début de leur mouvement de grève. Parmi les faits évoqués, les représentants du personnel citent la réquisition décidée par le parquet de la République.
Une décision que les grévistes jugent « contestable », estimant qu’elle ne devrait intervenir que « dans le cas où le service minimum n’est pas assuré» à l’hôpital. « Nous dénonçons la réquisition de la procureure de la République qui ne devait être faite que si le service minimum n’était pas assuré », ont déclaré les conférenciers, par la voix de Zainoudine Ahamada, vice-président du comité du personnel contractuel de l’hôpital. Selon lui, les modalités de cette réquisition posent également problème.
Le dialogue…
«Ils nous ont envoyé la réquisition avec les noms de toutes les personnes devant être réquisitionnées pour que ce soit nous qui les appelions. Et nous n’avons pas les moyens de le faire. Normalement, le déplacement de ces personnes-là devait être pris en charge par ceux qui les réquisitionnent», a-t-il expliqué.
Les représentants du personnel ont également exprimé leur regret face à l’absence, selon eux, d’initiatives des autorités pour ouvrir des discussions depuis le début de la grève. Zainoudine Ahamada affirme qu’aucune autorité gouvernementale ne s’est rapprochée du mouvement pour s’enquérir de la situation. «Depuis notre entrée en grève, le lundi 9 mars, aucune autorité gouvernementale, pas même le ministère de la Santé, ne s’est approchée de nous ne serait-ce que pour s’enquérir de la situation.», a-t-il déclaré.
Lors de ce point de presse, les grévistes ont réaffirmé leur détermination à poursuivre leur mouvement jusqu’à ce que leurs revendications soient entendues. Ils ont néanmoins tenu à rassurer la population sur la continuité du service minimum au sein de l’établissement. Le vice-président du comité du personnel de santé a également souligné l’importance du personnel soignant dans le fonctionnement du système hospitalier. La grève concerne actuellement environ 308 membres du personnel soignant.
Présent lors de cette rencontre, le secrétaire général de la Confédération des travailleurs et travailleuses comoriens (Cttc), Omar Ibrahim, a exprimé le soutien de l’organisation syndicale au personnel soignant de l’hôpital El-Maarouf. Il a notamment évoqué certaines dispositions des conventions internationales relatives au travail.
Selon lui, la situation que traverse le personnel de santé pourrait être interprétée à la lumière de l’article 4 de la convention 95 de l’Organisation internationale du travail (Oit), qui porte sur la question des salaires."
https://alwatwan.net/sante/journée-mondiale-de-lutte-contre-la-tuberculose-i-les-comores-ont-enregistré-«140-cas-en-2025»-sur-un-seuil-limité-à-«190».html,Journée mondiale de lutte contre la tuberculose I Les Comores ont enregistré «140 cas en 2025» sur un seuil limité à «190»,• Publié le 25/03/2026,"En marge de la célébration, les autorités sanitaires se sont réjouies des résultats «encourageants» enregistrés, faisant état de 140 cas notifiés en 2025 sur un objectif fixé à 190 cas. Avec un taux de guérison supérieur à 90%, les responsables de la santé se disent «satisfaits des progrès réalisés», tout en réaffirmant leur volonté « d’intensifier les efforts pour éradiquer la maladie».
Les autorités sanitaires comoriennes ont célébré hier, mardi 24 mars, à l’instar du monde entier, la journée internationale de lutte contre la tuberculose à Moroni. Placée sous le thème «Oui, nous pouvons éradiquer la tuberculose», la journée a été une occasion pour les autorités, le ministre Ahamada Sidi Nahouda en tête, de faire le point sur la situation de cette maladie dans le pays.
«En 2025, le programme national de lutte contre la tuberculose a notifié140 cas de tuberculose, toute forme confondue. Ceci veut dire que 26% des malades tuberculeux circulent sans couverture de cas dépisté de 74% par rapport aux 190 cas attendus par traitement avec tous les risques que cela comporte », a fait savoir le ministre de la Santé. Rappelons qu’en 2024, le programme national de lutte contre la tuberculose a notifié «131 cas sur les 160 de l’objectif visé».
Se réjouissant du «taux de guérison estimé à plus de 90%», les responsables de la santé ont exprimé leur satisfaction quant aux progrès réalisés. Et de réaffirmer leur volonté de «renforcer les activités de sensibilisation et de plaidoyer, pour amener d’une part la population à adopter des comportements sûrs, permettant d’éviter la tuberculose et d’autre part les dirigeants nationaux à s’engager davantage pour éradiquer cette maladie dans le pays».
Le ministre de la Santé, Ahamada Sidi Nahouda, a, à l’occasion, insisté sur le fait que ces avancées majeures en termes de prise en charge des cas, n’épargne pas pour autant le pays. «On se doit de redoubler d’efforts pour améliorer le taux de dépistage des cas car notre pays n’est pas à l’abri d’une situation difficile de la co-infection TB/VH », a-t-il interpellé la population, regrettant l’augmentation des cas de Sida.  Et de noter qu’en 2025, 4 cas de co-infections TB/VIH ont été notifiés et pris en charge de manière «adéquate».
«378 000 décès en 2024»
A cette célébration, docteur Nassuri Ahamada, a lu, au nom de la représentante de l’Oms aux Comores, Dr Nkurunziza Triphonie, le discours du directeur régional de l’Oms pour l’Afrique Dr Mohamed Janabi. « Toutes les 83 secondes, la tuberculose cause un décès dans la région africaine de l’Oms. Rien qu’en 2024, elle a provoqué 378 000 décès et infecté 2.7 millions de personnes, soit un quart de la charge mondiale», a fait part ce cadre de l’Oms aux Comores.
Et de préciser que malgré tout, «des progrès considérables» ont été enregistrés en Afrique. «Entre 2015 et 2024, les décès imputables à la tuberculose ont reculé de 46 %, tandis que l’incidence de la maladie a diminué de 28 %»¸a-t-il salué, se réjouissant des jalons franchis par plusieurs pays à travers le monde. Il citera à cet effet l’Afrique du Sud qui a atteint la cible fixée pour 2025 en matière de réduction de l’incidence de la tuberculose. Au Mozambique, en République-Unie de Tanzanie, au Togo et en Zambie où le nombre de décès a «baissé de 75%»."
https://alwatwan.net/sante/grève-à-el-maarouf-i-les-grévistes-appelés-à-«regagner-leurs-postes-de-travail».html,Grève à El-Maarouf I Les grévistes appelés à «regagner  leurs postes de travail»,• Publié le 11/03/2026,"Malgré la mise en demeure de la direction générale,exigeant les grévistes à regagner immédiatement leurs postes de travail et la rencontre avec le procureur général, les contractuels réaffirment leur position et maintiennent la grève.
Tenant compte de la grève entamée ce lundi 9 mars par le personnel de santé de l’hôpital El-Maarouf, le directeur général de cet établissement hospitalier, Assoumany Aboudou a adressé un courrier hier, mardi aux contractuels en grève, les mettant en démeure de «regagner immédiatement leurs postes de travail».
Reprochant aux grévistes de ne pas respecter la réglementation en vigueur, laquelle impose «le respect d’un préavis préalable, ains que les obligations liées à la continuité du service public» Assoumany Aboudou a notifié aux grévistes que «tout refus de reprendre le travail après la présente mise en demeure, pourra exposer les agents concernés aux mesures administratives et disciplinaires prévues par la réglementation en vigueur».
Tôt dans la matinée de ce mardi, le personnel de l’hôpital en grève a rencontré le procureur général au sujet de leur mouvement. Ce dernier leur a suggéré d’attendre la fin du mois de ramadhwani pour grever. «Le procureur nous a dit qu’on a le droit de revendiquer nos droits, cependant il a insisté sur le fait que, nous ne pouvons pas maintenir une grève pendant ce mois de ramadhwani pour ne pas toucher à l’ordre public.
Il nous a dit qu’on peut le reprendre dix jours après la fin de ce mois», a expliqué le technicien en imagerie médicale et vice-président du comité du personnel, Zainoudine Ahamada, joint hier via WhatsApp, lequel a souligné que le service minimum sera peut-être assuré par les fonctionnaires de l’hôpital. Interrogé par rapport à la mise en demeure qui leur a été adressée par le directeur général, le vice-président du comité du personnel en grève a fait savoir qu’une lettre a été envoyée à la direction dans laquelle, le personnel réaffirme sa position.
«Nous vous informons que nous ne pouvons pas rejoindre nos postes de travail à l’immédiat avant l’obtention de nos réclamations», a précisé cette lettre que nous avons consultée. Pour rappel, les contractuels de l’hôpital El-Maarouf sont entrés en grève depuis ce lundi 9 mars. Ces derniers réclament l’alignement des salaires des contractuels sur ceux des fonctionnaires et l’augmentation de leurs indemnités de garde."
https://alwatwan.net/sante/les-grévistes-réclament-«l’alignement-des-salaires»-sur-ceux-des-fonctionnaires.html,Les grévistes réclament «l’alignement des salaires» sur ceux des fonctionnaires,• Publié le 16/03/2026,"Les contractuels du Centre hospitalier national (Chn El-Maarouf) ont tenu un point de presse au siège de la Confédération des travailleurs et travailleuses comoriennes (Cttc) pour clarifier leur position suite au communiqué de la Direction générale relatif à la grève. (Lire en haut). Ils réitèrent leur «revendications phare», à savoir «l’alignement des salaires sur ceux des fonctionnaires».
Les grévistes, par la voix du vice-président du comité du personnel de santé de l’hôpital, Zainoudine Ahamada, ont exprimé leur satisfaction suite à l’augmentation des primes de garde et la cotisation à la caisse des retraites. Mais ils jugent insuffisant «les 8%» d’augmentation  de salaire annoncés par la Direction générale. «Nous n’avons pas entamé des mouvements de grève depuis déjà trois ans aujourd’hui pour aboutir à une augmentation de salaire de 4600fc, ce que représente ces 8% », a déclaré Zainoudine Ahamada, avant d’ajouter que les grévistes ne peuvent pas travailler avec le même temps horaire que les fonctionnaires, et percevoir des salaires différents. «Nous ne demandons pas à être des fonctionnaires. Mais simplement être payés au même niveau, étant donné qu’on accomplit les mêmes tâches, travaillons aux mêmes horaires avec les mêmes qualifications academques», ont insisté les grévistes. Et de réitérer leur engagement à maintenir ce mouvement de grève jusqu’à obtenir gain de cause. Le personnel de santé en grève a présenté tout de même ses excuses aux citoyens, pour le «dysfonctionnement occasionné dans certains services de l’hôpital». Toutefois, ils appellent les stagiaires à ne pas se laisser prendre au piège et interpellent  certains «majors et chefs de service quant à leurs agissements»."
https://alwatwan.net/sante/el-maarouf.-le-scout-wezombeli-partage-l’iftar-avec-les-patients-et-le-personnel.html,El Maarouf. Le scout Wezombeli partage l’iftar avec les patients et le personnel,• Publié le 18/03/2026,"L’initiative visait à soutenir et partager un moment de convivialité avec les patients hospitalisés et le personnel de santé en plein mois de Ramadan.
À l’occasion de la célébration de la Journée africaine du scoutisme, commémorée cette année en Afrique du Sud, le groupe Scout Wezombeli a organisé, ce dimanche 15 mars, un iftar au profit du personnel de santé et des patients du Centre hospitalier national  El Maarouf.Selon Abdoulhakim Mohamed, commissaire international du Scout Wezombeli, cette journée est généralement marquée par diverses activités citoyennes. « Les scouts peuvent célébrer cette journée à travers des actions de reboisement ou des opérations de nettoyage. Mais comme nous sommes en plein mois de Ramadan, nous avons choisi d’organiser une œuvre caritative en nous rendant à l’hôpital pour soutenir les patients et le personnel soignant », a-t-il expliqué.L’initiative a permis de partager un moment de solidarité avec les malades et les agents hospitaliers. D’après les organisateurs, l’hôpital avait initialement communiqué un effectif d’environ 140 personnes. Toutefois, le scout a préféré prévoir plus large en préparant des repas pour près de 200 bénéficiaires.
Dans les îles aussi…
En plus du personnel et des agents de l’hôpital, les membres du Scout Wezombeli ont également parcouru les chambres de plusieurs services pour distribuer des repas aux patients qui ne pouvaient pas se déplacer. Said Mohamed Rachad, enseignant, que nous avons croisé en face des urgences, ne cache pas sa satisfaction quant à cette initiative. «Mon fils est hospitalisé et nous sommes ici depuis maintenant quatre jours. C’est difficile pour ma femme de faire les vas-et vient pour lui apporter de la nourriture la journée et rentrer pour préparer le repas pour la rupture et me l’apporter à l’hôpital. Cette initiative a permis à ma femme de souffler un peu aujourd’hui », a-t-il expliqué.
Pour sa part, Maliza Ibrahim, une dame rencontrée au service de la pédiatrie, a tenu à saluer ce geste, à un moment où il faut jongler entre cuisiner et s’occuper de son malade. «Je n’ai pas de temps pour faire un tour à la maison et préparer à manger. Je suis donc obligée chaque fin d’après-midi d’acheter des brochettes pour rompre mon jeûne dehors en face de l’hôpital et vite revenir pour s’occuper de mon malade. Aujourd’hui, ces braves gens ont décidé de nous faciliter la vie en nous apportant de la nourriture. On ne peut que leur remercier », a-t-elle raconté.
Cette action de solidarité n’a pas été organisée uniquement à Moroni. Des initiatives similaires ont également eu lieu dans les autres îles. Pour l’iftar, les bénéficiaires ont pu déguster un menu composé de plats comoriens traditionnels, dans une ambiance de partage et de fraternité, fidèle aux valeurs du mouvement scout."
https://alwatwan.net/sante/santé/mpox-une-équipe-de-surveillance-au-port-de-moroni-après-larrivée-du-bateau-acadie.html,Mpox : une équipe de surveillance au port  de Moroni après l'arrivée du bateau Acadie,• Publié le 11/03/2026,"Une équipe de surveillance de l'épidémie Mpox a effectué une descente au port de Moroni pour veiller au respect du protocole mis en place par les autorités sanitaires.
L’équipe du ministère de la Santé s’est déployée au port de Moroni, hier, mardi 10 mars, pour accueillir les passagers du navire Acadie, arrivé dans la matinée en provenance de Madagascar, après quatre jours de traversée. Au total, 115 passagers se trouvaient à bord, notamment 86 ressortissants malgaches et 11 membres d’équipage. À leur arrivée, ils ont été pris en charge par les équipes sanitaires déployées au port afin d’effectuer des contrôles dans le cadre de la surveillance de l’épidémie de Mpox, communément appelée variole du singe.
Cette surveillance sanitaire s’inscrit, selon les agents du ministère de la Santé déployés sur place, dans le cadre des mesures préventives mises en place par les autorités comoriennes afin de limiter tout risque de propagation de la maladie sur le territoire national. La responsable de la surveillance aux points d’entrée, au sein du dispositif de lutte contre les maladies au ministère de la Santé, Nadia Kaambi, a expliqué que «l’objectif est de renforcer le contrôle sanitaire des voyageurs en provenance de zones où des cas ont été signalés.»
Nous sommes là pour la surveillance de la variole du singe. Nous savons qu’à Madagascar plusieurs cas ont été confirmés depuis le mois de décembre, a-t-elle indiqué.  La responsable a ajouté qu’«aux Comores également, les deux premiers cas ont été confirmés et identifiés ici même au port de Moroni chez deux passagers en provenance de Madagasca». C’est cette situation qui justifie, selon elle, la mobilisation régulière des équipes médicales à chaque arrivée de bateau en provenance de la grande île.
«C’est pour cette raison que nous sommes présents tous les jours pour identifier d’éventuels cas dès l’arrivée des passagers et d’assurer leur prise en charge si nécessaire», a-t-elle précisé. Le dispositif sanitaire, également mis en place à Ndzuani, comprend plusieurs niveaux. «Dès leur descente du bateau, les passagers doivent présenter les certificats sanitaires établis à Madagascar.
Les équipes médicales procèdent ensuite à l’enregistrement de leurs informations personnelles, notamment leurs numéros de téléphone et leurs adresses aux Comores, afin d’assurer un suivi éventuel après leur arrivée», a-t-elle expliqué. Et d’ajouter que «nous remplissons ensuite des fiches avec les informations nécessaires pour le suivi. Puis, tous les passagers passent par un lavage des mains. Pour notre part, nous procédons à la désinfection du bateau ainsi que des colis transportés par une équipe du Croissant rouge"", a détaillé Nadia Kaambi.
Du côté des passagers, les avis sont globalement favorables aux mesures mises en place par les autorités sanitaires, malgré quelques critiques. C’est le cas de Hadji Abdou qui a indiqué que le voyage s’est déroulé dans de bonnes conditions. «Le voyage s’est bien passé dans l’ensemble. Le seul hic concerne le traitement réservé aux membres de l’équipage de l’Acadie qui n’était pas bon du tout envers les passagers», a-t-il regretté. Toutefois, il se dit satisfait des mesures de prévention prises par l’État. «On voit qu’il y a des dispositions concrètes pour lutter contre le Mpox», a-t-il reconnu.
Radjab Chamssoudine, résidant à Mvuni, estime cependant que les contrôles effectués au port de Mutsamudu ont été excessifs. «Ils nous ont enlevé tous nos vêtements, que ce soit les vieux ou les jeunes. Pourtant nous avons tous des certificats de moins de 10 jours, qui attestent que nous ne sommes pas contaminés», a-t-il confié, expliquant que malgré cela, il comprend la nécessité des mesures sanitaires mise en place. «A part ça, je tiens à saluer les mesures engagées par l’État comorien dans l’ensemble car si la maladie ne s’est pas propagée ici, c’est parce qu’ils prennent toutes les précautions nécessaires"", a-t-il conclu."
https://alwatwan.net/sante/grève-des-contractuels/el-maarouf-i-la-direction-augmente-les-primes-et-le-salaire-et-appelle-à-un-«dialogue-social».html,Grève des contractuels/El-Maarouf I La direction augmente les primes et le salaire et appelle à un «dialogue social»,• Publié le 16/03/2026,"Des propositions auraient été faites aux grévistes par les autorités de l’établissement. Elles concernent l’augmentation des primes de garde, celle de la mutuelle de santé et une augmentation salariale jusqu’à 8%. La direction déplore l’absence d’un cadre de discussions avec les grévistes qui ont, selon elle, «choisi de fermer la porte aux négociations, sans formuler de contre-propositions permettant de poursuivre un dialogue constructif».
La direction générale du Centre hospitalier national (Chn El-Maarouf) a annoncé, dans un communiqué en date du 13 mars, une augmentation des primes et du salaire des contractuels en grève depuis six jours. A en croire le communiqué de presse, la direction révise à la hausse les primes de garde. Celles-ci passent de 3000fc à 5000fc pour les infirmiers, les sages-femmes et les techniciens, de 3500fc à 5500fc pour les infirmiers spécialisés, de 1750fc à 3000fc pour les aides-soignants et de 6500fc à 7500fc pour les médecins généralistes. S’agissant de l’augmentation salariale, une des revendications phares des contractuels, la direction dit avoir proposé «une augmentation de 8% et de 25% celle de la prise en charge de la mutuelle des assurés, soit de 50% à 75%». Rappelons que les grévistes ont, au cours de leur rencontre avec la presse, tenue le lundi 9 mars dans la matinée, fait part de leur désaccord sur «les 8%» d’augmentation de salaire qui ne représenteraient, selon eux,  que «4500fc».
«Absence de dialogue»
Quant à l’alignement des salaires des agents contractuels sur celui des fonctionnaires (lire texte en bas), la direction a fait savoir que cela «ne relève pas de la compétence du Chn El-Maarouf, qui aujourd’hui n’a pas les moyens de répondre pleinement à cette doléance». La direction de l’hôpital dit avoir constaté que le «service minimum n’est plus assuré par les grévistes», ce qui leur a contraint de recourir à des réquisitions visiblement peu suivies. Et de dénoncer «le non-respect» des dispositions en vigueur en matière de grève. «Le mouvement de grève engagé ne respecte pas les dispositions légales en vigueur, notamment en ce qui concerne les délais réglementaires de préavis (5 à 8 jours) et les procédures prévues par la loi», a-t-elle dénoncé.
Alors que les grévistes déplorent l’« absence de dialogue» avec les autorités en capacité d’atténuer ce mouvement de grève, la direction générale affirme le contraire dans ce même communiqué de presse. Ce document précise que «des négociations» étaient engagées avec les représentants des grévistes et que des propositions visant à améliorer leur situation ont été faites mais «les grévistes nous ont répétés pour la énième fois que leurs revendications sont non négociables». La direction dit ainsi «regretter» le comportement des représentants des grévistes qui ont «choisi de fermer la porte aux négociations, sans formuler de contre-propositions permettant de poursuivre un dialogue constructif», se déclarant ouvert à un «dialogue social, au respect du cadre légal et à la recherche de solutions équilibrées, tout en veillant à la continuité du service public hospitalier et à la prise en charge des patients»."
https://alwatwan.net/sante/grève-des-contractuels-d’el-maarouf-i-les-grévistes-disent-ne-pas-vouloir-négocier-cette-fois.html,Grève des contractuels d’El-Maarouf I Les grévistes disent ne pas vouloir négocier cette fois,• Publié le 10/03/2026,"Etant habitués à ce qu’on leur propose toujours des négociations qui mettent fin aux différentes grèves, les contractuels déclarent « qu’ils ne lèveront pas le mot d’ordre de grève tant que l’alignement de leurs salaires sur ceux des fonctionnaires et la revalorisation des primes ne seront pas effectifs ».
Le personnel de santé de l’hôpital El-Maarouf est entré en grève illimitée depuis la matinée de ce lundi 9 mars. Ces derniers réclament l’alignement des salaires des contractuels sur ceux des fonctionnaires et l’augmentation des indemnités de garde. «Nous sommes ici pour défendre les droits du personnel de santé d’El-Maarouf. Aujourd’hui, nous portons deux doléances. Si elles ne sont pas réglées, nous n’allons pas lever le mot d’ordre»¸ déclarent les grévistes, en colère, avec des rubans rouges sur les têtes et brandissant une banderole où l’on peut lire «Mzihira mdru na pvone».
«Nous avons pris toutes les dispositions nous permettant de mener à bien notre grève. Nous nous assurons que le service minimum assure la poursuite du travail dans tous les services. Ce matin, nous sommes entrés, service par service afin de ne pas confronter les citoyens à un quelconque problème», ont-ils assurés, par la voix du technicien au service d’imagerie, Zainou.
Ahmed Kairihila également du personnel de santé a insisté sur le fait qu’ils n’ont pas fait des longues études pour percevoir 57000fc le mois et 3000fc comme primes de garde. «Nous voulons que la prime de garde passe de 3000fc à 5000fc. C’est le moins que l’on puisse percevoir pour tenir toute une nuit de travail et voulons aussi qu’on améliore notre prise en charge par la mutuelle de santé. Ce n’est pas normal qu’on soit ici à traiter les autres qui disposent de mutuelle de santé prise en charge à 100% alors que la nôtre est seulement à 50%», a-t-il expliqué. Et de faire savoir qu’ils accusent 5 mois de non-paiement de la prime de garde.
Interrogé sur la solution immédiate que la direction du Chn El-Maarouf allait apporter par rapport à la situation, le directeur général Assoumany Aboudou a fait savoir que «c’est au personnel de voir car ils auraient dû privilégier la discussion au lieu de la grève». «ils auraient dû venir discuter ensemble, afin de trouver une solution comme ça a été le cas avec la cotisation du personnel à la caisse des retraites», a-t-il expliqué reconnaissant que «les salaires du personnel de santé est minime». En tout cas, pour le directeur de l’hôpital El-maarouf, trouver une solution à toutes ces doléances en 72h n’est pas possible."
https://alwatwan.net/sante/evacuation-sanitaire-enfants-de-la-lune-i-maimouda-evacuée-à-maurice-pour-des-examens-médicaux-urgents.html,Evacuation sanitaire-Enfants de la lune I Maimouda evacuée à Maurice pour des examens médicaux urgents,• Publié le 17/03/2026,"Atteinte de Xeroderma Pigmentosum (Xp), Maimouda Abou, âgée de 10 ans, a quitté Ndzuani samedi 14 mars pour l’île Maurice. Des lésions suspectes au niveau de la tête nécessitent des examens. L’évacuation est entièrement prise en charge par l’association partenaire, Ummah Charity.
Maimouda Abou a quitté le pays, dimanche 15 mars, pour l’île Maurice. Âgée de 10 ans et atteinte de la maladie des enfants de la lune, elle doit subir des consultations médicales approfondies face à «l’évolution inquiétante de certaines lésions au niveaude la teête». Cela faisait trois ans qu’aucun déplacement médical n’avait été organisé pour Maimouda. Le dernier voyage remonte à trois ans, lorsque trois enfants et deux accompagnateurs avaient été envoyés à Maurice. Entre-temps, en 2024, le jeune Dayane Mohamed avait lui aussi été évacué et réside aujourd’hui à Mayotte après plusieurs mois de soins à La Réunion. Pour cette évacuation, Maimouda Abou est assisté par le généraliste, Dr Ousfane Mohamed.
Une femme de ménage de la mission catholique, qui s’occupe quotidiennement de l’enfant, fait également le déplacement pour l’assister durant son séjour médical. Actuellement, l’association des enfants de la lune aux Comores recense six enfants atteints de Xeroderma Pigmentosum à Ndzuani, dont Maimouda. Le coordonnateur de l’association, Nassub Mohamed, insiste sur l’urgence de cette prise en charge médicale. « Les enfants atteints de Xp doivent partir deux fois à l’étranger par an pour des consultations médicales. Le cas de Maimouda est grave actuellement. Elle présente des lésions au niveau de la tête qui sont suspectes et pourraient être liées à un cancer. C’est pourquoi toute cette mobilisation pour l’évacuer à l’île Maurice afin de réaliser des consultations plus poussées. Aux Comores, nous n’avons pas les équipements capables de prendre en charge les enfants atteints de cette maladie.
Pour le cas de Maimouda, il faut déterminer si les plaies sont cancéreuses et savoir si elles sont bénignes ou malignes. Ce type d’analyse ne peut se faire qu’à la Réunion ou à Maurice », a-t-il expliqué. Dr Ousfane Mohamed a précisé que la situation médicale de l’enfant nécessite un encadrement particulier. « Nous sommes attendus à l’île Maurice où Maimouda doit être prise en charge pour des traitements adaptés à sa maladie. L’état actuel des lésions nécessite la présence d’un accompagnateur du domaine médical afin de l’orienter vers les services spécialisés. Ce n’est pas un voyage de tout repos. La petite est connue pour être agressive et il faut donc faire preuve de patience et de persévérance. Nous avons déjà l’expérience de son dernier voyage et nous avons pris les dispositions nécessaires pour pouvoir voyager, effectuer les soins et revenir dans de bonnes conditions », a-t-il fait savoir.
Qui est Maimouda ?
Maimouda Abou est une fillette de 10 ans originaire de Magnasini, dans la région du Nyumakélé, d’un père, gardien de champ et d’une mère malade mental. Atteinte de Xeroderma Pigmentosum, elle a longtemps vécu dans des conditions jugées « très difficiles ». Elle passe une partie de son enfance dans la forêt de Bandrani, entre Wani et Jimlimé.
Depuis la découverte de sa maladie, Maimouda Abdou suit ses traitements avec la dermatologue Dr Zahara Salim, qui est aussi présidente de l’association des enfants de la lune. « Chez ses parents, elle est sans protection ni suivie de facçon adaptée, ce qui a fortement aggravé son exposition au soleil. Par la suite, l’association a pu intervenir pour assurer sa prise en charge. Aujourd’hui, Maimouda vit à la mission de la charité de Mutsamudu, où elle bénéficie d’un encadrement et d’une protection adaptés à sa maladie. Malgré sa situation, elle est inscrite à l’école de la mission catholique», a conclu le coordinateur de l’association."
